,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,SEASON_ID
0,203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,68,45,23,0.662,30.2,121.7,123.0,123.0,110.0,110.9,110.9,11.6,12.1,12.1,0.129,2.07,16.9,0.086,0.136,0.112,8.2,8.2,0.603,0.617,0.206,0.208,101.11,100.16,83.47,100.16,0.112,4288,429,761,6.3,11.2,0.564,5,5,14,7,4,2,2,2,4,4,4,2,2,2,7,8,9,4,8,5,3,3,4,5,5,6,4,6,6,3,3,4,4,4,3,2022-23
2,1628971,Bruce Brown,Bruce,1610612743,DEN,26.0,80,53,27,0.663,28.5,112.9,113.8,113.8,111.8,113.0,113.0,1.1,0.8,0.8,0.164,2.18,22.4,0.029,0.116,0.074,10.3,10.3,0.545,0.571,0.174,0.179,100.11,99.19,82.66,99.19,0.09,4708,358,741,4.5,9.3,0.483,1,1,17,6,6,6,6,6,11,12,12,6,6,6,6,5,5,12,11,11,12,12,9,10,10,10,6,11,11,7,5,5,5,6,10,2022-23
3,1631128,Christian Braun,Christian,1610612743,DEN,22.0,76,49,27,0.645,15.5,107.6,107.0,107.0,110.7,111.3,111.3,-3.2,-4.3,-4.3,0.07,1.69,14.4,0.042,0.112,0.078,8.5,8.5,0.554,0.568,0.127,0.132,99.87,99.87,83.22,99.87,0.067,2454,143,289,1.9,3.8,0.495,2,3,17,11,10,9,11,11,5,7,7,7,8,8,15,11,13,8,12,10,4,4,8,11,18,18,9,8,8,16,9,9,12,10,5,2022-23
5,201599,DeAndre Jordan,DeAndre,1610612743,DEN,34.0,39,23,16,0.59,15.0,107.5,107.0,107.0,115.4,115.4,115.4,-7.9,-8.4,-8.4,0.084,0.71,15.6,0.094,0.252,0.176,22.0,22.0,0.77,0.731,0.134,0.139,99.88,100.16,83.47,100.16,0.107,1215,88,115,2.3,2.9,0.765,13,13,7,14,11,10,12,12,17,17,17,13,13,13,14,16,10,1,2,2,18,18,1,1,16,17,8,7,7,4,12,14,10,15,1,2022-23
6,202397,Ish Smith,Ish,1610612743,DEN,34.0,43,25,18,0.581,9.3,104.0,102.3,102.3,108.5,107.5,107.5,-4.5,-5.3,-5.3,0.352,2.27,36.1,0.014,0.116,0.068,15.9,15.9,0.405,0.407,0.187,0.196,99.91,101.21,84.34,101.21,0.072,843,52,131,1.2,3.0,0.397,11,12,8,16,15,13,13,13,3,3,3,9,9,9,2,4,1,16,10,13,17,17,18,18,7,7,7,2,2,12,13,12,16,14,16,2022-23
7,1631298,Jack White,Jack,1610612743,DEN,25.0,17,13,4,0.765,3.9,96.3,90.4,90.4,107.8,104.5,104.5,-11.5,-14.1,-14.1,0.093,2.0,15.4,0.086,0.177,0.129,7.7,7.6,0.5,0.517,0.133,0.15,92.88,97.41,81.17,97.41,0.087,135,8,19,0.5,1.1,0.421,17,15,1,1,18,18,18,18,2,1,1,16,16,16,10,9,11,5,4,4,2,2,15,15,17,14,18,18,18,9,18,18,18,18,14,2022-23
8,1627750,Jamal Murray,Jamal,1610612743,DEN,26.0,65,43,22,0.662,32.8,118.3,118.9,118.9,111.6,112.5,112.5,6.7,6.4,6.4,0.265,2.76,23.9,0.024,0.099,0.062,8.7,8.6,0.537,0.571,0.256,0.262,99.82,99.13,82.61,99.13,0.121,4413,473,1041,7.3,16.0,0.454,6,6,12,8,2,5,5,5,10,11,11,5,5,5,3,1,4,14,14,15,5,5,11,9,3,3,10,12,12,2,2,1,2,1,13,2022-23
9,201145,Jeff Green,Jeff,1610612743,DEN,36.0,56,33,23,0.589,19.5,106.6,107.1,107.1,114.5,115.0,115.0,-7.9,-8.0,-8.0,0.095,1.5,13.9,0.035,0.096,0.066,9.3,9.3,0.534,0.576,0.167,0.171,99.78,99.38,82.81,99.38,0.071,2253,160,328,2.9,5.9,0.488,9,10,14,15,9,12,10,10,14,16,16,12,12,12,9,12,14,10,16,14,8,8,12,8,11,11,11,10,10,14,8,8,9,9,7,2022-23
10,203484,Kentavious Caldwell-Pope,Kentavious,1610612743,DEN,30.0,76,51,25,0.671,31.3,120.1,121.4,121.4,110.8,111.5,111.5,9.4,9.8,9.8,0.092,2.13,19.3,0.016,0.074,0.046,9.1,9.0,0.569,0.598,0.136,0.139,101.48,100.61,83.84,100.61,0.066,4992,292,632,3.8,8.3,0.462,2,2,16,3,3,4,4,4,6,8,8,4,4,4,11,7,7,15,18,17,6,6,7,7,14,15,1,3,3,17,6,6,7,7,12,2022-23
11,1629008,Michael Porter Jr.,Michael,1610612743,DEN,25.0,62,41,21,0.661,29.0,121.1,122.6,122.6,111.4,112.2,112.2,9.8,10.4,10.4,0.048,0.96,6.5,0.038,0.151,0.097,6.8,6.8,0.602,0.621,0.22,0.224,101.44,100.42,83.69,100.42,0.103,3773,398,817,6.4,13.2,0.487,7,7,10,9,5,3,3,3,8,10,10,3,3,3,16,14,17,9,5,6,1,1,5,3,4,4,2,4,4,5,4,3,3,3,8,2022-23
