,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
0,203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,68,45,23,0.662,30.2,110.9,4.1,0.136,0.197,0.8,0.16,0.8,0.273,10.0,8.0,8.6,33.1,0.107,5,5,14,7,4,4,3,8,8,5,11,1,5,14,13,14,15,2,2022-23
1,1630538,Bones Hyland,Bones,1610612746,LAC,22.0,42,28,14,0.667,19.5,119.2,1.8,0.098,0.145,0.7,0.262,0.3,0.194,8.2,5.4,5.8,21.4,0.022,12,11,6,4,8,18,10,15,14,6,3,10,9,12,10,11,12,17,2022-23
2,1628971,Bruce Brown,Bruce,1610612743,DEN,26.0,80,53,27,0.663,28.5,113.0,3.3,0.116,0.174,1.1,0.248,0.6,0.217,10.8,8.2,7.5,30.0,0.083,1,1,17,6,6,12,5,11,10,3,5,3,8,16,14,13,13,6,2022-23
3,1631128,Christian Braun,Christian,1610612743,DEN,22.0,76,49,27,0.645,15.5,111.3,1.8,0.112,0.166,0.5,0.218,0.2,0.143,5.6,4.3,4.3,17.0,0.053,2,3,17,11,10,7,11,12,12,9,7,14,15,8,7,9,9,8,2022-23
4,1628432,Davon Reed,Davon,1610612747,LAL,28.0,35,23,12,0.657,9.0,111.2,1.3,0.15,0.212,0.4,0.25,0.1,0.182,4.5,1.5,2.9,9.0,0.031,14,13,5,10,16,6,15,6,7,10,4,17,12,5,2,4,2,15,2022-23
5,201599,DeAndre Jordan,DeAndre,1610612743,DEN,34.0,39,23,16,0.59,15.0,115.4,3.8,0.252,0.378,0.3,0.141,0.6,0.39,6.0,4.4,4.7,16.2,0.034,13,13,7,14,11,17,4,2,2,14,14,4,3,9,8,10,7,14,2022-23
6,202397,Ish Smith,Ish,1610612743,DEN,34.0,43,25,18,0.581,9.3,107.5,1.1,0.116,0.166,0.2,0.143,0.2,0.184,3.9,2.3,2.4,9.2,0.042,11,12,8,16,15,3,17,10,11,15,12,15,11,4,3,3,4,12,2022-23
7,1631298,Jack White,Jack,1610612743,DEN,25.0,17,13,4,0.765,3.9,104.5,0.6,0.177,0.22,0.2,0.429,0.1,0.25,1.5,0.5,0.7,3.3,0.02,17,15,1,1,18,1,18,4,5,16,1,16,6,1,1,1,1,18,2022-23
8,1627750,Jamal Murray,Jamal,1610612743,DEN,26.0,65,43,22,0.662,32.8,112.5,3.2,0.099,0.145,1.0,0.191,0.2,0.084,11.0,9.2,9.5,36.6,0.1,6,6,12,8,2,11,6,14,15,4,8,12,17,17,18,17,17,4,2022-23
9,201145,Jeff Green,Jeff,1610612743,DEN,36.0,56,33,23,0.589,19.5,115.0,1.9,0.096,0.142,0.3,0.121,0.3,0.172,8.1,5.6,6.2,20.5,0.046,9,10,14,15,9,16,9,16,16,12,16,11,13,11,11,12,11,10,2022-23
