,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_ID
0,203932,Aaron Gordon,1610612743,DEN,27.0,68,30.2,5.5,3.93,1.57,1.16,0.01,0.87,2.12,0.41,0.34,0.75,0.549,0.451,0.18,0.29,0.47,0.46,0.32,0.375,0.625,0.969,0.688,2022-23
2,1628971,Bruce Brown,1610612743,DEN,26.0,80,28.5,5.03,2.64,2.39,2.06,0.0,0.24,0.53,0.23,0.26,0.49,0.462,0.538,0.01,0.18,0.19,0.19,0.06,0.067,0.933,1.0,0.333,2022-23
3,1631128,Christian Braun,1610612743,DEN,22.0,76,15.5,3.14,1.87,1.28,0.74,0.03,0.07,0.18,0.08,0.04,0.12,0.667,0.333,0.0,0.07,0.07,0.05,0.01,0.0,1.0,1.0,0.25,2022-23
5,201599,DeAndre Jordan,1610612743,DEN,34.0,39,15.0,3.44,2.85,0.59,0.56,0.0,2.05,4.54,0.05,0.08,0.13,0.4,0.6,0.31,0.51,0.82,0.82,0.67,0.375,0.625,1.0,0.813,2022-23
6,202397,Ish Smith,1610612743,DEN,34.0,43,9.3,0.95,0.4,0.56,0.21,0.02,0.07,0.16,0.05,0.09,0.14,0.333,0.667,0.0,0.07,0.07,0.05,0.02,0.0,1.0,1.0,0.5,2022-23
7,1631298,Jack White,1610612743,DEN,25.0,17,3.9,0.76,0.29,0.47,0.29,0.0,0.06,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-23
8,1627750,Jamal Murray,1610612743,DEN,26.0,65,32.8,5.22,2.54,2.68,1.86,0.08,0.42,0.92,0.34,0.38,0.72,0.468,0.532,0.0,0.32,0.32,0.32,0.06,0.0,1.0,1.0,0.19,2022-23
9,201145,Jeff Green,1610612743,DEN,36.0,56,19.5,4.46,2.64,1.82,0.41,0.13,0.89,2.16,0.04,0.09,0.13,0.286,0.714,0.02,0.36,0.38,0.25,0.11,0.048,0.952,0.824,0.353,2022-23
10,203484,Kentavious Caldwell-Pope,1610612743,DEN,30.0,76,31.3,2.32,1.18,1.13,2.63,0.01,0.32,0.66,0.24,0.37,0.61,0.391,0.609,0.03,0.22,0.25,0.22,0.07,0.105,0.895,0.944,0.278,2022-23
11,1629008,Michael Porter Jr.,1610612743,DEN,25.0,62,29.0,3.65,2.19,1.45,1.29,0.0,0.23,0.53,0.19,0.26,0.45,0.429,0.571,0.11,0.1,0.21,0.19,0.15,0.538,0.462,0.923,0.692,2022-23
