,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
0,203932,Aaron Gordon,1610612743,DEN,27.0,6-8,80,235,Arizona,USA,2014,1,4,68,16.3,6.6,3.0,12.1,0.086,0.136,0.206,0.617,0.129,2022-23
2,1628971,Bruce Brown,1610612743,DEN,26.0,6-4,76,202,Miami,USA,2018,2,42,80,11.5,4.1,3.4,0.8,0.029,0.116,0.174,0.571,0.164,2022-23
3,1631128,Christian Braun,1610612743,DEN,22.0,6-6,78,220,Kansas,USA,2022,1,21,76,4.7,2.4,0.8,-4.3,0.042,0.112,0.127,0.568,0.07,2022-23
5,201599,DeAndre Jordan,1610612743,DEN,34.0,6-11,83,265,Texas A&M,USA,2008,2,35,39,5.1,5.2,0.9,-8.4,0.094,0.252,0.134,0.731,0.084,2022-23
6,202397,Ish Smith,1610612743,DEN,34.0,6-0,72,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,43,2.5,1.3,2.3,-5.3,0.014,0.116,0.187,0.407,0.352,2022-23
7,1631298,Jack White,1610612743,DEN,25.0,6-7,79,225,Duke,Australia,Undrafted,Undrafted,Undrafted,17,1.2,1.0,0.2,-14.1,0.086,0.177,0.133,0.517,0.093,2022-23
8,1627750,Jamal Murray,1610612743,DEN,26.0,6-4,76,215,Kentucky,Canada,2016,1,7,65,20.0,4.0,6.2,6.4,0.024,0.099,0.256,0.571,0.265,2022-23
9,201145,Jeff Green,1610612743,DEN,36.0,6-8,80,235,Georgetown,USA,2007,1,5,56,7.8,2.6,1.2,-8.0,0.035,0.096,0.167,0.576,0.095,2022-23
10,203484,Kentavious Caldwell-Pope,1610612743,DEN,30.0,6-5,77,204,Georgia,USA,2013,1,8,76,10.8,2.7,2.4,9.8,0.016,0.074,0.136,0.598,0.092,2022-23
11,1629008,Michael Porter Jr.,1610612743,DEN,25.0,6-10,82,218,Missouri,USA,2018,1,14,62,17.4,5.5,1.0,10.4,0.038,0.151,0.22,0.621,0.048,2022-23
12,203999,Nikola Jokic,1610612743,DEN,28.0,6-11,83,284,None,Serbia,2014,2,41,69,24.5,11.8,9.8,12.5,0.08,0.283,0.263,0.701,0.412,2022-23
13,1631212,Peyton Watson,1610612743,DEN,20.0,6-7,79,200,UCLA,USA,2022,1,30,23,3.3,1.6,0.5,-12.0,0.043,0.139,0.174,0.553,0.087,2022-23
14,202704,Reggie Jackson,1610612743,DEN,33.0,6-2,74,208,Boston College,USA,2011,1,24,16,7.9,1.8,3.1,-7.1,0.009,0.078,0.203,0.476,0.237,2022-23
15,1628418,Thomas Bryant,1610612743,DEN,25.0,6-10,82,248,Indiana,USA,2017,2,42,18,4.6,3.3,0.1,-15.0,0.087,0.19,0.178,0.547,0.016,2022-23
